5/20/11,94.55,3M Company (NYSE:MMM) - Volume,3M Company (NYSE:MMM) - Total Enterprise Value,3M Company (NYSE:MMM) - Shares Sold Short,3M Company (NYSE:MMM) - Market Cap/Total Revenues,3M Company (NYSE:MMM) - P/BV,3M Company (NYSE:MMM) - Dividend Yield,3M Company (NYSE:MMM) - Short Interest as % of Shares Outstanding
11/18/13,129.91,2148174,90534625100,10861852,2.85,4.92,0.02,0.02
11/19/13,130.02,2532503,90480763500,10861852,2.85,4.92,0.02,0.02
11/20/13,129.5,2691794,89895018600,10861852,2.83,4.89,0.02,0.02
11/21/13,129.69,1576647,90682744500,10861852,2.86,4.93,0.02,0.02
11/22/13,130.36,1644799,91133835400,10861852,2.87,4.96,0.02,0.02
11/25/13,131.8,2496334,91275222100,10861852,2.88,4.96,0.02,0.02
11/26/13,131.45,4229577,91894630500,12054973,2.9,5,0.02,0.02
11/27/13,132.63,2433546,92803545000,12054973,2.93,5.05,0.02,0.02
11/29/13,133.51,2029049,92810277700,12054973,2.93,5.05,0.02,0.02
12/2/13,131.67,6901333,88885113600,12054973,2.8,4.83,0.02,0.02
12/3/13,126.06,7865043,88157982000,12054973,2.78,4.79,0.02,0.02
12/4/13,125.95,3455951,88063724200,12054973,2.77,4.78,0.02,0.02
12/5/13,126.4,2842740,88312834100,12054973,2.78,4.8,0.02,0.02
12/6/13,128.19,2886135,89511254700,12054973,2.82,4.87,0.02,0.02
12/9/13,128.8,2064407,89484323900,12054973,2.82,4.86,0.02,0.02
12/10/13,128.07,2353154,88797588500,10825646,2.8,4.83,0.02,0.02
12/11/13,128.74,3897498,88272437900,10825646,2.78,4.8,0.02,0.02
12/12/13,126.63,2486721,88144516600,10825646,2.78,4.79,0.02,0.02
12/13/13,126.65,1743444,88043526100,10825646,2.77,4.78,0.02,0.02
12/16/13,126.77,2805302,88871648200,10825646,2.8,4.83,0.02,0.02
12/17/13,130.42,6212275,91382945300,10825646,2.88,4.97,0.03,0.02
12/18/13,131.48,5580201,93261863600,10825646,2.94,5.14,0.03,0.02
12/19/13,135.06,4081024,93667661220,10825646,2.96,5.16,0.03,0.02
12/20/13,136.78,5856853,93873886240,10825646,2.96,5.17,0.03,0.02
12/23/13,137.1,3443556,93927105600,10825646,2.97,5.18,0.03,0.02
12/24/13,137.23,1311676,94053501580,7887658,2.97,5.18,0.02,0.01
12/26/13,137.3,2158185,94918316180,7887658,3,5.23,0.02,0.01
12/27/13,138.78,1895102,95623472700,7887658,3.02,5.27,0.02,0.01
12/30/13,139.08,1714254,95670039640,7887658,3.02,5.27,0.02,0.01
12/31/13,140,1846529,96222190500,7887658,3.04,5.31,0.02,0.01
1/2/14,138.05,3053521,94811877460,7887658,2.99,5.23,0.02,0.01
1/3/14,138.37,2133336,95024754900,7887658,3,5.24,0.02,0.01
1/6/14,138.75,2712055,94479256460,7887658,2.98,5.21,0.02,0.01
1/7/14,137.45,2525529,94492561300,7887658,2.98,5.21,0.02,0.01
1/8/14,137.48,3122674,93814014460,7887658,2.96,5.17,0.03,0.01
1/9/14,137.02,2539952,93694270900,7887658,2.96,5.16,0.03,0.01
1/10/14,136.95,3254329,93514655560,7010222,2.95,5.15,0.03,0.01
1/13/14,135.81,2633428,92516792560,7010222,2.92,5.1,0.03,0.01
1/14/14,135.11,2480170,94332903220,7010222,2.98,5.2,0.02,0.01
1/15/14,137.77,3043498,95018102480,7010222,3,5.24,0.02,0.01
1/16/14,137.74,1792677,94831834720,7010222,2.99,5.23,0.02,0.01
1/17/14,137.98,2335555,94266379020,7010222,2.98,5.19,0.02,0.01
1/21/14,138.45,2705751,94053501580,7010222,2.97,5.18,0.02,0.01
1/22/14,137.35,2118966,93714228160,7010222,2.96,5.16,0.03,0.01
1/23/14,135.64,2720254,92536749820,7010222,2.92,5.1,0.03,0.01
1/24/14,133.73,3784000,89549813240,7010222,2.82,4.93,0.03,0.01
1/27/14,130.02,3313315,88711608320,6297078,2.8,4.88,0.03,0.01
1/28/14,129.43,2734536,89277064020,6297078,2.81,4.91,0.03,0.01
1/29/14,130.1,3585136,89569770500,6297078,2.82,4.93,0.03,0.01
1/30/14,129.96,4103794,87856238100,6297078,2.76,4.73,0.03,0.01
1/31/14,126.6,3715366,87699914240,6297078,2.75,4.74,0.03,0.01
2/3/14,128.22,4245704,84854374400,6297078,2.66,4.58,0.03,0.01
2/4/14,126.09,7423602,86724869120,6297078,2.72,4.68,0.03,0.01
2/5/14,128.01,4960130,87149378560,6297078,2.74,4.71,0.03,0.01
2/6/14,127.6,3828431,88170854400,6297078,2.77,4.76,0.03,0.01
2/7/14,129.57,3271820,89119367680,6297078,2.8,4.82,0.03,0.01
2/10/14,129.65,3317360,88701491200,6297078,2.79,4.79,0.03,0.01
2/11/14,129.7,2604237,89550510080,5749290,2.81,4.84,0.03,0.01
2/12/14,130.34,2100646,89192330240,5749290,2.8,4.82,0.03,0.01
2/13/14,129.29,2850607,89497341440,5749290,2.8,4.93,0.03,0.01
2/14/14,129.77,3031589,90730867040,5749290,2.84,5.01,0.03,0.01
2/18/14,132.31,2876570,90518805600,5749290,2.83,4.99,0.03,0.01
2/19/14,131.33,2719359,89697067520,5749290,2.8,4.95,0.03,0.01
2/20/14,130.65,2155829,90359759520,5749290,2.82,4.99,0.03,0.01
2/21/14,131.56,2574269,90366386440,5749290,2.82,4.99,0.03,0.01
2/24/14,131.89,2454286,90783882400,5749290,2.84,5.01,0.03,0.01
2/25/14,132.27,2865583,91267647560,5749290,2.85,5.04,0.03,0.01
2/26/14,133.13,2771103,91221259120,6138589,2.85,5.04,0.03,0.01
2/27/14,132.63,3123972,92202043280,6138589,2.88,5.09,0.03,0.01
2/28/14,134.19,3179708,92460493160,6138589,2.89,5.11,0.03,0.01
3/3/14,133.07,2814779,90790509320,6138589,2.84,5.01,0.03,0.01
3/4/14,131.92,6975609,91101974560,6138589,2.85,5.03,0.03,0.01
3/5/14,132.66,3551443,91877324200,6138589,2.87,5.07,0.03,0.01
3/6/14,134.37,2236816,92029743360,6138589,2.88,5.08,0.03,0.01
3/7/14,134.88,2381391,92049624120,6138589,2.88,5.08,0.03,0.01
3/10/14,133.98,1966251,91685143520,6138589,2.87,5.06,0.03,0.01
3/11/14,133.73,1928934,90989316920,6184498,2.84,5.02,0.03,0.01
3/12/14,132.07,2636985,91029078440,6184498,2.85,5.02,0.03,0.01
3/13/14,133.19,2520817,89862740520,6184498,2.81,4.96,0.03,0.01
3/14/14,130.08,2975110,89213302360,6184498,2.79,4.92,0.03,0.01
3/17/14,130.66,2529436,90830270840,6184498,2.84,5.01,0.03,0.01
3/18/14,132.49,2032836,91141736080,6184498,2.85,5.03,0.03,0.01
3/19/14,132.75,2141027,90141071160,6184498,2.82,4.97,0.03,0.01
3/20/14,131.15,2577475,90936301560,6184498,2.84,5.02,0.03,0.01
3/21/14,133.58,5920375,91393559040,6184498,2.86,5.05,0.03,0.01
3/24/14,133.32,2799616,90929674640,6184498,2.84,5.02,0.03,0.01
3/25/14,133.66,2898123,92016489520,7007433,2.88,5.08,0.03,0.01
3/26/14,134.66,2318889,91373678280,7007433,2.86,5.04,0.03,0.01
3/27/14,132.82,2409787,90559214720,7007433,2.83,5.03,0.03,0.01
3/28/14,133.58,1906496,91453833600,7007433,2.86,5.09,0.03,0.01
3/31/14,134.61,2711953,92414233280,7007433,2.89,5.14,0.03,0.01
4/1/14,135.88,2371045,92986526240,7007433,2.91,5.17,0.03,0.01
4/2/14,135.99,3281384,92637888000,7007433,2.9,5.15,0.03,0.01
4/3/14,136.22,2677221,92729981120,7007433,2.9,5.16,0.03,0.01
4/4/14,136.9,2735319,92545794880,7007433,2.89,5.15,0.03,0.01
4/7/14,135.81,2807517,91585395200,7007433,2.86,5.09,0.03,0.01
4/8/14,134.44,2893573,91874830720,7007433,2.87,5.11,0.03,0.01
4/9/14,135,2671878,92532638720,7655186,2.89,5.15,0.03,0.01
4/10/14,135.73,2857305,91302537760,7655186,2.85,5.08,0.03,0.01
4/11/14,133.37,2368364,90263201120,7655186,2.82,5.02,0.03,0.01
4/14/14,133.45,2058107,90763135200,7655186,2.84,5.05,0.03,0.01
4/15/14,133.27,2119044,91381474720,7655186,2.86,5.08,0.03,0.01
4/16/14,135.17,2135337,93144400160,7655186,2.91,5.18,0.03,0.01
4/17/14,137.3,2645619,93775895840,7655186,2.93,5.22,0.02,0.01
4/21/14,137.25,1781138,94361344960,7655186,2.95,5.25,0.02,0.01
4/22/14,138.5,2252491,94538953120,7655186,2.96,5.26,0.02,0.01
4/23/14,138.81,2847591,93946925920,7655186,2.94,5.23,0.02,0.01
4/24/14,136.38,2847809,93652463200,7655186,2.89,4.99,0.03,0.01
4/25/14,136.5,2093074,93111203680,7604197,2.88,4.98,0.03,0.01
4/28/14,137.43,2244309,93549569940,7604197,2.89,5.01,0.02,0.01
4/29/14,137.87,1820903,93758938900,7604197,2.9,5.02,0.02,0.01
4/30/14,137.63,2906766,94766527020,7604197,2.93,5.08,0.02,0.01
5/1/14,139.5,3997985,96367885180,7604197,2.97,5.28,0.02,0.01
5/2/14,141.63,5758462,95916433360,7604197,2.95,5.25,0.02,0.01
5/5/14,139.14,2711091,96237029580,7604197,2.96,5.27,0.02,0.01
5/6/14,140.28,2299671,95373382620,7604197,2.93,5.22,0.02,0.01
5/7/14,139.98,2238499,96583796920,7604197,2.97,5.29,0.02,0.01
5/8/14,140.88,1939407,96380970740,7604197,2.97,5.28,0.02,0.01
5/9/14,140.56,2092997,96714652520,8478228,2.98,5.3,0.02,0.01
5/12/14,141.78,2972085,97682983960,8478228,3.01,5.36,0.02,0.01
5/13/14,143,1695439,97427815540,8478228,3,5.34,0.02,0.01
5/14/14,142.48,2113403,96884764800,8478228,2.98,5.31,0.02,0.01
5/15/14,141.56,2388376,96479112440,8478228,2.97,5.29,0.02,0.01
5/16/14,140.93,1901726,96577254140,8478228,2.97,5.29,0.02,0.01
5/19/14,140.07,1529159,96930564260,8478228,2.98,5.31,0.02,0.01
5/20/14,141.6,1845131,95988403940,8478228,2.95,5.26,0.02,0.01
5/21/14,139.77,1641048,96269743480,8478228,2.96,5.27,0.02,0.01
5/22/14,140.71,1550242,96040746180,8478228,2.95,5.26,0.02,0.01
5/23/14,140.23,1209384,96583796920,8478228,2.97,5.29,0.02,0.01
5/27/14,141.5,1512336,96780080320,8549476,2.98,5.3,0.02,0.01
5/28/14,141.81,1566124,96773537540,8549476,2.98,5.3,0.02,0.01
5/29/14,141.5,1624138,97401644420,8549476,3,5.34,0.02,0.01
5/30/14,142.11,3908258,97506328900,8549476,3,5.35,0.02,0.01
6/2/14,142.27,1682363,97355844960,8549476,3,5.34,0.02,0.01
6/3/14,142.08,2061733,97728783420,8549476,3.01,5.36,0.02,0.01
6/4/14,142.91,1335673,97316588280,8549476,3,5.33,0.02,0.01
6/5/14,142.76,1542282,98265291380,8549476,3.03,5.39,0.02,0.01
6/6/14,143.99,1769660,98873769920,8549476,3.05,5.42,0.02,0.01
6/9/14,144.64,1800929,99318678960,8549476,3.06,5.45,0.02,0.01
6/10/14,144.97,1699958,99089681660,7482747,3.05,5.44,0.02,0.01
6/11/14,144.66,1489897,98723285980,7482747,3.04,5.42,0.02,0.01
6/12/14,144.95,1839500,97846553460,7482747,3.01,5.36,0.02,0.01
6/13/14,143.19,1376210,98036294080,7482747,3.02,5.38,0.02,0.01
6/16/14,142.93,1274286,98010122960,7482747,3.02,5.37,0.02,0.01
6/17/14,143.01,1209437,98252205820,7482747,3.03,5.39,0.02,0.01
6/18/14,143.93,1340743,98670943740,7482747,3.04,5.41,0.02,0.01
6/19/14,144.53,1560479,98775628220,7482747,3.04,5.42,0.02,0.01
6/20/14,144.54,4204666,99213994480,7482747,3.06,5.44,0.02,0.01
6/23/14,145.1,1390232,98513917020,7482747,3.03,5.4,0.02,0.01
6/24/14,143.71,1404566,97859639020,7981965,3.01,5.37,0.02,0.01
6/25/14,143,1321768,98226034700,7981965,3.03,5.39,0.02,0.01
6/26/14,143.75,1490908,98278376940,7981965,3.03,5.39,0.02,0.01
6/27/14,143.17,1981763,98252205820,7981965,3.03,5.39,0.02,0.01
6/30/14,143.92,1878415,97957780720,7981965,3.02,5.37,0.02,0.01
7/1/14,143.41,1767594,98821427680,7981965,3.04,5.42,0.02,0.01
7/2/14,144.23,1621309,99259793940,7981965,3.06,5.45,0.02,0.01
7/3/14,145.25,1142241,99377563980,7981965,3.06,5.45,0.02,0.01
7/7/14,145.48,1257923,99050424980,7981965,3.05,5.43,0.02,0.01
7/8/14,145.22,1596826,98821427680,7981965,3.04,5.42,0.02,0.01
7/9/14,144.78,1521771,98899941040,7981965,3.05,5.43,0.02,0.01
7/10/14,143.5,2070061,98383061420,7932816,3.03,5.4,0.02,0.01
7/11/14,144.14,1907924,98657858180,7932816,3.04,5.41,0.02,0.01
7/14/14,144.99,2114592,99109310000,7932816,3.05,5.44,0.02,0.01
7/15/14,145,1955732,99148566680,7932816,3.05,5.44,0.02,0.01
7/16/14,145.28,1971812,99874815260,7932816,3.08,5.48,0.02,0.01
7/17/14,145.33,2778988,98154064120,7932816,3.02,5.38,0.02,0.01
7/18/14,143.83,2132969,98998082740,7932816,3.05,5.43,0.02,0.01
7/21/14,144.66,1520875,98651315400,7932816,3.04,5.41,0.02,0.01
7/22/14,144.89,1608162,99187823360,7932816,3.06,5.44,0.02,0.01
7/23/14,145.34,1849659,98899941040,7932816,3.05,5.43,0.02,0.01
7/24/14,145.51,2580146,98919366140,7943411,3.02,5.27,0.02,0.01
7/25/14,145.66,1601797,97997261280,7943411,2.99,5.27,0.02,0.01
7/28/14,144.92,2002176,98262928570,7943411,3,5.28,0.02,0.01
7/29/14,145.22,2288993,97284495380,7943411,2.97,5.23,0.02,0.01
7/30/14,144.26,2458395,97103064060,7943411,2.96,5.22,0.02,0.01
7/31/14,143.33,3572440,95750352410,7943411,2.9,5.26,0.02,0.01
8/1/14,140.15,2505780,95244936590,7943411,2.89,5.23,0.02,0.01
8/4/14,140.15,2494476,95659636750,7943411,2.9,5.26,0.02,0.01
8/5/14,140.62,2168828,95031106820,7943411,2.88,5.22,0.02,0.01
8/6/14,139.14,2678975,94882073950,7943411,2.88,5.21,0.02,0.01
8/7/14,140.05,1892551,94609926970,7943411,2.87,5.19,0.02,0.01
8/8/14,139.3,2702551,95724433650,7943411,2.9,5.26,0.02,0.01
8/11/14,140.93,1919082,95549482020,7889489,2.9,5.25,0.02,0.01
8/12/14,140.62,2176055,95743872720,7889489,2.9,5.26,0.02,0.01
8/13/14,141.35,3104251,96340004200,7889489,2.92,5.29,0.02,0.01
8/14/14,142,1586871,96689907460,7889489,2.93,5.31,0.02,0.01
8/15/14,142.81,1960967,96417760480,7889489,2.92,5.3,0.02,0.01
8/18/14,142.75,1855474,97843292280,7889489,2.97,5.38,0.02,0.01
8/19/14,144.47,1593001,97927528250,7889489,2.97,5.39,0.02,0.01
8/20/14,143.86,2298805,98154317400,7889489,2.98,5.4,0.02,0.01
8/21/14,144.78,1475752,98089520500,7889489,2.98,5.4,0.02,0.01
8/22/14,144.5,1547543,97849771970,7889489,2.97,5.38,0.02,0.01
8/25/14,144.66,1013114,98219114300,7889489,2.98,5.4,0.02,0.01
8/26/14,145,1816025,98154317400,8069255,2.98,5.4,0.02,0.01
8/27/14,144.43,1402238,97726657860,8069255,2.97,5.37,0.02,0.01
8/28/14,143.32,1314062,97752576620,8069255,2.97,5.38,0.02,0.01
8/29/14,144.06,1537846,97765536000,8069255,2.97,5.38,0.02,0.01
9/2/14,143.3,1578809,97908089180,8069255,2.97,5.38,0.02,0.01
9/3/14,144.47,1533616,97648901580,8069255,2.96,5.37,0.02,0.01
9/4/14,144.21,1549930,97512828090,8069255,2.96,5.36,0.02,0.01
9/5/14,143.64,1989529,97895129800,8069255,2.97,5.38,0.02,0.01
9/8/14,144.41,2446144,98342228410,8069255,2.99,5.41,0.02,0.01
9/9/14,144.7,1745351,98063601740,8069255,2.98,5.39,0.02,0.01
9/10/14,144.63,1558786,98180236160,8077232,2.98,5.4,0.02,0.01
9/11/14,143.99,1465360,97992325150,8077232,2.97,5.39,0.02,0.01
9/12/14,144.45,2135444,97726657860,8077232,2.97,5.37,0.02,0.01
9/15/14,144.17,1867980,98076561120,8077232,2.98,5.39,0.02,0.01
9/16/14,143.8,1945076,98316309650,8077232,2.98,5.41,0.02,0.01
9/17/14,144.92,2757021,98653253530,8077232,3,5.43,0.02,0.01
9/18/14,145.7,2367082,99605767960,8077232,3.03,5.48,0.02,0.01
9/19/14,147.42,8106210,99508572610,8077232,3.02,5.48,0.02,0.01
9/22/14,146.92,2231009,98873562990,8077232,3,5.44,0.02,0.01
9/23/14,145.23,2052024,98005284530,8077232,2.97,5.39,0.02,0.01
9/24/14,144.17,2608246,98335748720,7618984,2.98,5.41,0.02,0.01
9/25/14,144.41,2764211,96780623120,7618984,2.94,5.32,0.02,0.01
9/26/14,142.52,3557713,96741744980,7618984,2.93,5.32,0.02,0.01
9/29/14,140.94,2848278,96592712110,7618984,2.93,5.31,0.02,0.01
9/30/14,142.5,2679206,96262247920,7618984,2.92,5.29,0.02,0.01
10/1/14,141.16,2925861,94642325420,7618984,2.87,5.2,0.02,0.01
10/2/14,138.57,3223934,94311861230,7618984,2.86,5.18,0.02,0.01
10/3/14,139.33,3514097,95283814730,7618984,2.89,5.23,0.02,0.01
10/6/14,140.55,2464699,95393969460,7618984,2.89,5.24,0.02,0.01
10/7/14,138.82,3145016,93670371920,7618984,2.84,5.14,0.02,0.01
10/8/14,138.25,4137781,96087296290,7618984,2.91,5.28,0.02,0.01
10/9/14,141.15,3769325,94292422160,8307437,2.86,5.18,0.02,0.01
10/10/14,139.33,7370347,91175691270,8307437,2.76,5,0.03,0.01
10/13/14,134.26,4583764,90573080100,8307437,2.74,4.96,0.03,0.01
10/14/14,133.65,3644279,91402480420,8307437,2.76,5.01,0.03,0.01
10/15/14,132.56,4794670,91428399180,8307437,2.77,5.01,0.03,0.01
10/16/14,133.42,3497195,91966213450,8307437,2.78,5.04,0.03,0.01
10/17/14,135.75,3749126,93488940600,8307437,2.83,5.13,0.02,0.01
10/20/14,137.15,2782534,93618534400,8307437,2.83,5.14,0.02,0.01
10/21/14,138.4,3081162,95776271170,8307437,2.9,5.26,0.02,0.01
10/22/14,140.9,4294426,94493292550,8307437,2.86,5.19,0.02,0.01
10/23/14,141.92,7428392,98635903450,8307437,2.97,5.74,0.02,0.01
10/24/14,145,4480881,99867295210,10694536,3.01,5.88,0.02,0.02
10/27/14,148.09,2844113,1.00489E+11,10694536,3.03,5.91,0.02,0.02
10/28/14,149.83,2368229,1.0145E+11,10694536,3.06,5.97,0.02,0.02
10/29/14,151.39,2060649,1.01418E+11,10694536,3.06,5.97,0.02,0.02
10/30/14,150.49,1836508,1.02161E+11,10694536,3.08,6.03,0.02,0.02
10/31/14,153.83,3016319,1.03231E+11,10694536,3.11,6.09,0.02,0.02
11/3/14,153.14,2376427,1.0293E+11,10694536,3.1,6.07,0.02,0.02
11/4/14,153.92,3128619,1.04051E+11,10694536,3.14,6.14,0.02,0.02
11/5/14,155.68,2770390,1.04461E+11,10694536,3.15,6.17,0.02,0.02
11/6/14,155.69,2067172,1.04692E+11,10694536,3.16,6.18,0.02,0.02
11/7/14,156.15,1882753,1.05012E+11,10694536,3.17,6.2,0.02,0.02
11/10/14,156.25,1463470,1.05724E+11,10694536,3.19,6.25,0.02,0.02
11/11/14,157.95,1812026,1.05371E+11,10903246,3.18,6.23,0.02,0.02
11/12/14,156.65,1500707,1.05736E+11,10903246,3.19,6.25,0.02,0.02
11/13/14,158,2375052,1.06166E+11,10903246,3.2,6.27,0.02,0.02
11/14/14,158.53,1786283,1.06486E+11,10903246,3.21,6.29,0.02,0.02
11/17/14,158.09,1674303,1.06384E+11,10903246,3.21,6.29,0.02,0.02
11/18/14,158.88,2312206,1.07319E+11,10903246,3.24,6.35,0.02,0.02
11/19/14,159.33,2314662,1.06473E+11,10903246,3.21,6.29,0.02,0.02
11/20/14,158.19,1748983,1.06813E+11,10903246,3.22,6.31,0.02,0.02
11/21/14,160.31,2472003,1.07326E+11,10903246,3.24,6.35,0.02,0.02
11/24/14,160.16,2358208,1.07146E+11,10903246,3.23,6.33,0.02,0.02
11/25/14,159,3646343,1.0598E+11,12662943,3.2,6.26,0.02,0.02
11/26/14,157.97,1823224,1.0614E+11,12662943,3.2,6.27,0.02,0.02
11/28/14,159.58,1565487,1.07281E+11,12662943,3.24,6.34,0.02,0.02
12/1/14,158.35,2502120,1.06044E+11,12662943,3.2,6.27,0.02,0.02
12/2/14,158.78,2504391,1.07608E+11,12662943,3.25,6.36,0.02,0.02
12/3/14,161.1,3040255,1.08671E+11,12662943,3.28,6.43,0.02,0.02
12/4/14,162,2165107,1.08671E+11,12662943,3.28,6.43,0.02,0.02
12/5/14,162.4,1722974,1.08678E+11,12662943,3.28,6.43,0.02,0.02
12/8/14,162.1,1905159,1.07819E+11,12662943,3.26,6.38,0.02,0.02
12/9/14,159.89,2051810,1.07755E+11,11398051,3.25,6.37,0.02,0.02
12/10/14,160.71,3251563,1.06095E+11,11398051,3.2,6.27,0.02,0.02
12/11/14,159.18,2437334,1.06678E+11,11398051,3.22,6.31,0.02,0.02
12/12/14,158.56,2823193,1.05377E+11,11398051,3.18,6.23,0.02,0.02
12/15/14,158.12,2610662,1.05204E+11,11398051,3.17,6.21,0.02,0.02
12/16/14,157.26,3383374,1.06614E+11,11398051,3.22,6.3,0.02,0.02
12/17/14,159.29,3948875,1.0684E+11,11398051,3.23,6.36,0.02,0.02
12/18/14,162.4,3359781,1.09829E+11,11398051,3.32,6.55,0.02,0.02
12/19/14,164.78,4891344,1.09944E+11,11398051,3.32,6.56,0.02,0.02
12/22/14,166.22,2090886,1.11082E+11,11398051,3.36,6.63,0.02,0.02
12/23/14,168.02,2190217,1.10828E+11,11398051,3.35,6.61,0.02,0.02
12/24/14,166.17,981961,1.10885E+11,9924248,3.35,6.62,0.02,0.02
12/26/14,167.34,1607376,1.1044E+11,9924248,3.34,6.59,0.02,0.02
12/29/14,166.3,1218833,1.10726E+11,9924248,3.35,6.61,0.02,0.02
12/30/14,166.55,1180680,1.10173E+11,9924248,3.33,6.57,0.02,0.02
12/31/14,166,1631764,1.09206E+11,9924248,3.3,6.51,0.02,0.02
1/2/15,164.71,2117562,1.09041E+11,9924248,3.29,6.5,0.02,0.02
1/5/15,163,3692901,1.06687E+11,9924248,3.22,6.35,0.02,0.02
1/6/15,160.82,3537144,1.056E+11,9924248,3.19,6.29,0.02,0.02
1/7/15,159.9,3081291,1.06331E+11,9924248,3.21,6.33,0.02,0.02
1/8/15,160.65,3149592,1.08767E+11,9924248,3.29,6.48,0.02,0.02
1/9/15,163.85,2378568,1.07489E+11,9924248,3.25,6.4,0.02,0.02
1/12/15,162.39,2149230,1.06929E+11,9463456,3.23,6.37,0.02,0.01
1/13/15,162.23,2706698,1.06853E+11,9463456,3.23,6.36,0.02,0.01
1/14/15,159.04,1983535,1.06357E+11,9463456,3.21,6.33,0.02,0.01
1/15/15,159.84,1881406,1.06242E+11,9463456,3.21,6.33,0.02,0.01
1/16/15,159.86,2349676,1.0773E+11,9463456,3.25,6.42,0.02,0.01
1/20/15,162.72,2096201,1.07692E+11,9463456,3.25,6.42,0.02,0.01
1/21/15,161.66,1597680,1.08074E+11,9463456,3.26,6.44,0.02,0.01
1/22/15,163.26,2225819,1.10205E+11,9463456,3.33,6.57,0.02,0.01
1/23/15,165.75,2249181,1.09015E+11,9463456,3.29,6.5,0.02,0.01
1/26/15,163.62,3556293,1.09155E+11,9463456,3.3,6.51,0.02,0.01
1/27/15,162.31,4190749,1.08389E+11,9112690,3.27,7.91,0.02,0.01
1/28/15,164.61,3574594,1.08586E+11,9112690,3.28,7.92,0.02,0.01
1/29/15,164.07,2674618,1.09979E+11,9112690,3.32,8.03,0.02,0.01
1/30/15,164.75,3561892,1.07543E+11,9112690,3.24,7.84,0.02,0.01
2/2/15,162.12,2379692,1.08892E+11,9112690,3.29,7.95,0.02,0.01
2/3/15,165.17,2604773,1.09858E+11,9112690,3.32,8.02,0.02,0.01
2/4/15,165.78,2363803,1.0914E+11,9112690,3.29,7.97,0.02,0.01
2/5/15,165.31,2050539,1.10246E+11,9112690,3.33,8.05,0.02,0.01
2/6/15,166.23,1826929,1.09941E+11,9112690,3.32,8.03,0.02,0.01
2/9/15,164.38,2072981,1.09159E+11,9112690,3.29,7.97,0.02,0.01
2/10/15,165.4,1885097,1.09782E+11,8973582,3.31,8.01,0.02,0.01
2/11/15,164.52,1695064,1.0893E+11,8973582,3.29,7.95,0.02,0.01
2/12/15,164.93,1615661,1.0972E+11,8973582,3.31,8.04,0.02,0.01
2/13/15,165.9,1792069,1.09739E+11,8973582,3.31,8.04,0.02,0.01
2/17/15,165.94,2100869,1.10361E+11,8973582,3.33,8.09,0.02,0.01
2/18/15,166.92,1552002,1.10666E+11,8973582,3.34,8.11,0.02,0.01
2/19/15,167.4,1648814,1.10469E+11,8973582,3.33,8.1,0.02,0.01
